name,year
"Fisher, Kathleen S",2010
"Deutsch, L Peter",1994
"Turner, Albert J",1998
"Vardy, Alexander",2017
"Chandy, Kanianthra Mani",2019
"Traub, Joseph",1994
"Pingali, Keshav K",2012
"Cohen, Michael F.",2007
"Kim, Nam Sung",2020
"Sistla, Aravinda P",2021
"Engeler, Erwin",1995
"Robertson, George",2001
"Rulifson, Jeff",1994
"Henkel, Joerg",2022
"Ilyas, Ihab F.",2020
"Jhala, Ranjit",2021
"Ozsoyoglu, Zehra",2011
"Stankovic, John A",1996
"Keeton, Kimberly",2018
"Pfister, Hanspeter",2019
"Franke, Hubertus",2021
"O'Rourke, Joseph",2012
"Gotlieb, Calvin C.",1994
"Durand, Fredo",2016
"Simon, Herbert A",1994
"Turk, Matthew A",2020
"Schantz, Richard",2004
"Plotkin, Gordon",2020
"Levy, Henry M",1996
"Malkhi, Dahlia",2011
"Zorin, Denis",2022
"Duffield, Nicholas",2020
"Weyuker, Elaine",1997
"Harel, David",1994
"Wheeler, David John",1994
"Gupta, Rajesh",2016
"Knuth, Donald E",1994
"Dijkstra, Edsger W",1994
"Berman, Francine",2000
"Kuo, Tei-Wei",2015
"Ross, Keith",2012
"Torii, Koji",1999
"Jacob, Robert J.K.",2016
"Sullivan, Gary J.",2022
"Håstad, Johan",2018
"Ousterhout, John",1994
"Gabrilovich, Evgeniy",2021
"Bate, Roger R",1997
"Heidelberger, Philip",1996
"Dray, Susan",2017
"Gotsman, Craig",2022
"Gilbert, Juan E",2018
"Henzinger, Monika",2016
"Tennenholtz, Moshe",2019
"Guruswami, Venkatesan",2017
"Traiger, Irv",1994
"Davidson, Jack",2008
"Yung, Moti",2013
"Paulson, Lawrence C",2008
"Muthukrishnan, S.",2010
"Hey, Anthony",2016
"Lu, Chenyang",2020
"Seltzer, Margo",2011
"Van Oorschot, Paul",2016
"Leyton-Brown, Kevin",2020
"Banerjee, Prithviraj",2000
"Seznec, Andre",2016
"Martin, C.  Dianne",1999
"Myers, Eugene",2003
"Schulzrinne, Henning",2014
"Sammet, Jean E",1994
"Peyton-Jones, Simon L",2004
"Eiter, Thomas",2020
"Williams, Laurie Ann",2020
"Moss, Eliot",2007
"Kaashoek, Frans",2004
"Ramalingam, Ganesan",2016
"Rombach, Dieter",2010
"Hennessy, John L",1997
"Denning, Peter J",1994
"Schlichting, Richard D",2001
"Dey, Tamal K",2018
"Pfenning, Frank",2015
"Larson, Per-Ake",2004
"Wilhelm, Reinhard",2000
"Taylor, Richard N",1998
"Hodgins, Jessica K",2018
"Burnett, Margaret",2017
"Yu, Philip S",1997
"DeFanti, Thomas",1994
"Sequin, Carlo H",1998
"Lin, Chih-Jen",2015
"Kuo, Chung C",2022
"Mueller, Frank",2018
"Najork, Marc",2019
"Jha, Niraj",2003
"Abrahams, Paul W",1995
"Raschid, Louiqa",2016
"Ricart, Glenn",2021
"McKeown, Kathleen",2003
"Satyanarayanan, Mahadev",2002
"Kannan, Sampath Kumar",2013
"Srinivasan, Aravind",2014
"Papadimitriou, Christos",2001
"Jagadish, H V",2003
"Roscoe, Timothy",2013
"Wolfson, Seymour J",1994
"Mukherjee, Shubu",2011
"Zdonik, Stanley",2006
"Cerf, Vinton",1994
"Kale, Laxmikant",2017
"Parashar, Manish",2020
"DeMicheli, Giovanni",2001
"Spafford, Eugene H.",1998
"Bajaj, Chandrajit L.",2009
"Shasha, Dennis E",2013
"Spector, Alfred Z",2006
"Lee, Insup",2017
"Lipton, Richard",1997
"Kahn, Robert E",2001
"Davis, Timothy Alden",2014
"Gurevich, Yuri",1997
"Kitsuregawa, Masaru",2012
"Oviatt, Sharon",2016
"Varghese, George",2002
"Karloff, Howard J",2011
"Wirth, Niklaus E",1994
"Ioannidis, Yannis",2004
"Bachman, Charles W",2014
"Jensen, Christian S.",2011
"Parker, Donn B",2001
"Jahanian, Farnam",2009
"Chandra, Ranveer",2022
"Baecker, Ronald M",2011
"Gottlieb, Allan",2004
"Kersten, Martin",2016
"Chien, Andrew A",2004
"Brooks, Rodney A",2005
"Fagin, Ronald",2000
"Galil, Zvi",1995
"Manning, Christopher",2013
"Gries, David Joseph",1994
"Duncan, Karen",2000
"Ramamritham, Krithivasan",2001
"Savage, John E",1996
"Indyk, Piotr",2015
"Gupta, Manish",2012
"Mitchell, Joseph",2011
"Wolf, Alexander L",2006
"Briand, Lionel",2020
"Lengauer, Thomas",2021
"Sameh, Ahmed",1999
"Padua, David",2007
"Demaine, Erik",2016
"Gottlob, Georg",2007
"Contractor, Noshir",2019
"Little, Joyce Currie",1994
"Feigenbaum, Edward A",2007
"Weikum, Gerhard",2005
"Rice, John",1996
"Whitted, J Turner",1995
"Eckert, J Presper",1994
"Higham, Nicholas",2020
"Li, Ninghui",2021
"Panchanathan, Sethuraman",2020
"Dunwell, Stephen",1994
"Conitzer, Vincent",2019
"Goldberg, Andrew V",2009
"Agrawal, Divyakant",2011
"Valduriez, Patrick",2012
"Aiken, Robert",2001
"Schroeder, Peter",2015
"Tan, Wang-Chiew",2015
"Karlin, Anna",2012
"Shneiderman, Ben",1997
"White, Ryen W",2021
"Vardi, Moshe Y",2000
"Balakrishnan, Hari",2008
"Dennis, Jack",1994
"Steele, Guy L",1994
"Camp, Linda Jean",2021
"Wand, Mitchell",2007
"Freeman, Peter A",2000
"Kuck, David J",1994
"Ganesan, Deepak",2021
"Srivastava, Divesh",2011
"Ellis, Clarence A",1998
"Wadler, Philip",2007
"MATSUOKA, SATOSHI",2011
"Konstan, Joseph A",2008
"Graham, Susan L",1994
"Freeman, William",2016
"Schoelkopf, Bernhard",2017
"Estrin, Deborah",2000
"Akyildiz, Ian F",1997
"Attiya, Hagit",2009
"Abraham, Jacob",2001
"Carpenter, Loren C",1995
"Garofalakis, Minos",2018
"Finerman, Aaron",1994
"Comer, Douglas E",2000
"Li, Feifei",2021
"Brooks, Frederick",1994
"Chellappa, Ramalingam",2013
"Dayal, Umeshwar",2008
"Kang , Sung Mo",2001
"Zhou, Yuanyuan",2013
"Adams, James M",1994
"Shah, Mubarak Ali",2021
"Alur, Rajeev",2007
"Iyengar, Sitharama",2001
"Miller, Barton P",2001
"Fox, Edward Alan",2017
"Chakrabarty, Krishnendu",2013
"Lynn, M Stuart",1994
"Kotz, David",2020
"Shieber, Stuart",2014
"Pitassi, Toniann",2018
"Birnbaum, Joel S",2001
"Jones, Neil",1998
"Widmayer, Peter",1997
"Kaltofen, Erich L",2009
"Gil, Yolanda",2016
"Peleg, David",2016
"Reingold, Edward M",1996
"Bodik, Rastislav",2018
"Walsh, Toby",2020
"Randell, Brian",2008
"Roughan, Matthew",2018
"Shyamasundar, Rudrapatna K",2009
"Feiner, Steven",2018
"Sarawagi, Sunita",2021
"Hull, Tom",1994
"Zaniolo, Carlo A",2019
"Maarek, Yoelle",2013
"Dhillon, Inderjit",2014
"Dourish, Paul",2015
"Morris, James H",2000
"Dale, Nell B.",2009
"Baldi, Pierre",2012
"Gonzalez, Antonio",2020
"Schuster, Assaf",2015
"Chamberlin, Donald",1994
"Radev, Dragomir R",2015
"Kirkpatrick, Scott",2011
"Jaffe, Jeffrey",1996
"Horowitz, Mark A",2003
"Barham, Paul",2018
"Darwiche, Adnan",2018
"Jajodia, Sushil",2021
"Goyal, Ambuj",2002
"Chen, Hsinchun",2015
"Foster, Ian T",2009
"Crowcroft, Jon",2002
"Gropp, William D",2006
"Graham, Robert M",1996
"Maggs, Bruce M",2018
"Boutilier, Craig",2012
"Highland, Harold J",1995
"Ernst, Michael D",2014
"Scott, Michael",2006
"Mutlu, Onur",2017
"Bianchini, Ricardo",2016
"Winograd, Terry",2009
"Sutherland, Ivan",1994
"Zhou, Kun",2020
"Harrison, Michael A",1996
"Lesk, Michael E",1996
"Strecker, William",1994
"Liu, Yunhao",2015
"Pullen, John Mark",2001
"Hill, Mark D.",2004
"Xie, Yuan",2019
"Austing, Richard H",1994
"Deo, Narsingh",1996
"Deng, Xiaotie",2008
"Halperin, Dan",2018
"Teng, Shang-Hua",2009
"Blelloch, Guy",2011
"Harrold, Mary",2003
"Forlizzi, Jodi",2020
"Vernon, Mary K",1996
"Pinkston, Timothy",2019
"Feng, Tse-Yun",1994
"Appel, Andrew W",1998
"Frailey, Dennis",1996
"Freeman, Herbert",1997
"Hart, Peter",2003
"Ellis, Carla S.",2010
"Frieder, Ophir",2005
"Rao, TRN",1996
"Barford, Paul",2016
"Mockapetris, Paul",2004
"Motwani, Rajeev",2007
"Sedgewick, Robert",1997
"Bjorner, Dines",2005
"Balazinska, Magdalena",2019
"Davis, Larry S",2012
"Wolfson, Ouri",2001
"Aluru, Srinivas",2020
"Hwu, Wen-Mei",2002
"Warren, David S",2000
"Getoor, Lise",2019
"Thorup, Mikkel",2005
"Kieburtz, Richard B",2001
"Tao, Yufei",2020
"Rui, Yong",2017
"Card, Stuart K.",2000
"Hirschberg, Julia",2015
"Patt, Yale",2001
"Rushmeier, Holly E",2016
"Kurtz, Thomas E",1994
"Greenberg, Albert G",2006
"Lynch, Clifford A",2017
"Cragon, Harvey G",1994
"Pop, Mihai",2019
"Schreiber, Robert",2012
"Davidson, Susan B",2001
"Xie, Tao",2021
,0
"Oettinger, Anthony",1995
"Narayanaswami, Chandra",2020
"Stockmeyer, Larry",1996
"Miller, Raymond",1997
"Wetherall, David",2011
"Booch, Grady",1995
"Ishii, Hiroshi",2022
"Emer, Joel",2004
"Canning, Richard G",1994
"Aiken, Alex",2008
"Horvitz, Eric",2014
"Buneman, Peter",2000
"Soatto, Stefano",2022
"Lee, Der-Tsai",1997
"Mohan, C.",2002
"Mowry, Todd C",2016
"Kiczales, Gregor",2012
"Agarwal, Anant",2007
"Friedman, Batya",2021
"Bose, Bella",2004
"Evans, Bob O",1994
"Naughton, Jeffrey F",2002
"Murphy, Robin R",2019
"Banerjee, Utpal",2007
"MacQueen, David",1999
"Wiederhold, Gio",1995
"Sanguinetti, John",2011
"Basin, David",2018
"Torrellas, Josep",2010
"Fortnow, Lance",2007
"Lin, Ming C",2011
"Beame, Paul",2019
"Wallace, Chris S",1995
"Burger, Douglas C",2010
"Pei, Jian",2015
"Mynatt, Elizabeth D.",2015
"Terzopoulos, Demetri",2007
"Humphrey, Watts S",2008
"Patel, Shwetak N",2016
"Karin, Sidney",2002
"Corbato, Fernando J",1994
"Agrawala, Maneesh",2022
"Selman, Alan",1998
"Tan, Chung Jen",1999
"Kasik, David J",2013
"Greenberg, Donald",1995
"Litwin, Witold",2001
"Jarke, Matthias",2013
"Dubois, Michel",2005
"Atallah, Mikhail",2006
"Guerraoui, Rachid",2012
"Singh, Mona",2019
"Katz, Randy H.",1996
"Tarjan, Robert E",1994
"Gupta, Aarti",2017
"Van Rijsbergen, C J",2003
"Inverardi, Paola",2021
"Vempala, Santosh",2015
"Steiglitz, Kenneth",1997
"Arge, Lars",2012
"Qureshi, Moinuddin",2022
"Needham, Roger M",1994
"Ebeling, Carl",2011
"Jackson, Daniel",2016
"Burton, Richard R.",1994
"Widom, Jennifer",2005
"Qadeer, Shaz",2021
"Rosing, Tajana",2021
"Miller, Victor",2015
"Ralston, Anthony",1994
"Wegman, Mark",1996
"Wegner, Peter",1995
"Chen, Peter P",1998
"Braverman, Mark",2021
"Lozano-Perez, Tomas",2017
"Neumann, Peter G",1994
"Shen, Heng Tao",2020
"Valiant, Leslie G",2012
"Trevisan, Luca",2021
"Rowe, Lawrence A",1998
"Silberschatz, Abraham",1996
"Whittaker, Stephen J",2014
"Kumar, Vipin",2005
"Borning, Alan H",2001
"Blasgen, Michael W",1994
"Agrawal, Rakesh",2003
"Grimson, Eric",2014
"Snoeren, Alex C.",2018
"Li, Li Erran",2017
"Cohen-Or, Daniel",2021
"Odersky, Martin",2007
"Micali, Silvio",2017
"Menczer, Filippo",2020
"Hopcroft, John E",1994
"McCarthy, John",1994
"Barroso, Luiz Andre",2010
"McKinley, Kathryn S",2008
"Van Renesse, Robbert",2009
"Noh, Sam H.",2020
"Wilkes, John",2002
"Valero, Mateo",2002
"Mogul, Jeffrey C",2001
"Downey, Rodney",2007
"Huang, Xuedong",2016
"Giles, Lee",2006
"Balakrishnan, Meenakshi",2021
"Suppes, Patrick",1994
"Misra, Vishal",2018
"Meyer, Albert R",2000
"Abowd, Gregory D.",2008
"Nievergelt, J",1995
"Encarnacao, Jose L.",1996
"Zweben, Stuart",1998
"Wang, Wei",2020
"Gosling, James",2013
"Akeley, Kurt B",1996
"Wong, Martin",2017
"Samarati, Pierangela",2021
"Zhang, Aidong",2017
"Pothen, Alex",2022
"De Giacomo, Giuseppe",2015
"Couger, J D",1997
"Rabin, Tal",2017
"Steel, Thomas B",1994
"Requicha, Aristides",2007
"Hume, J N",1994
"Petzold, Linda",2011
"Zwaenepoel, Willy E",2000
"Sapatnekar, Sachin S.",2016
"Berger, Bonnie",2003
"Hammer, Carl",1994
"Tardos, Eva",1998
"Gehrke, Johannes",2014
"Bricklin, Daniel S",1994
"Dolev, Danny",2007
"Patterson, David",1994
"Zhong, Lin",2021
"Cook, Perry",2008
"Kermarrec, Anne-Marie",2016
"Collins, George E",2004
"Zhang, Hui",2005
